,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
aggravating_alvorlige følger for fornærmede,1,aggravating_alvorlige følger for fornærmede,aggravating,alvorlige følger for fornærmede,serious consequences for the victim,life_health,
aggravating_mishandling over flere år,1,aggravating_mishandling over flere år,aggravating,mishandling over flere år,abuse over several years,severe,long_time
aggravating_vanskelig å avdekke og oppklare,1,aggravating_vanskelig å avdekke og oppklare,aggravating,vanskelig å avdekke og oppklare,difficult to uncover and clarify,DELETE,
aggravating_bruk av falske opplysninger og identiteter,1,aggravating_bruk av falske opplysninger og identiteter,aggravating,bruk av falske opplysninger og identiteter,use of false information and identities,violation,identification
aggravating_kynisk og hensynsløs,1,aggravating_kynisk og hensynsløs,aggravating,kynisk og hensynsløs,cynical and ruthless,DELETE,
aggravating_nektet å oppgi personalia,1,aggravating_nektet å oppgi personalia,aggravating,nektet å oppgi personalia,refused to provide personal details,violation,identification
aggravating_bruk av våpenetterligning,1,aggravating_bruk av våpenetterligning,aggravating,bruk av våpenetterligning,use of imitation weapons,object,weapon
aggravating_tidligere dømt for vold,1,aggravating_tidligere dømt for vold,aggravating,tidligere dømt for vold,previously convicted of violence,repeated_offense,
aggravating_forfalskede dokumenter,1,aggravating_forfalskede dokumenter,aggravating,forfalskede dokumenter,forged documents,violation,fraud
aggravating_fornærmede var i tiltaltes omsorg,1,aggravating_fornærmede var i tiltaltes omsorg,aggravating,fornærmede var i tiltaltes omsorg,the victim was in the defendant's care,victim,relationship
aggravating_overgrep over svært lang tid,1,aggravating_overgrep over svært lang tid,aggravating,overgrep over svært lang tid,abuse over a very long period of time,severe,long_time
aggravating_forsøkt å ta seg inn i huset,1,aggravating_forsøkt å ta seg inn i huset,aggravating,forsøkt å ta seg inn i huset,tried to get into the house,place,private
aggravating_forårsaket postdramatisk stress,1,aggravating_forårsaket postdramatisk stress,aggravating,forårsaket postdramatisk stress,caused post-dramatic stress,life_health,psychological
aggravating_ødelagt telefon,1,aggravating_ødelagt telefon,aggravating,ødelagt telefon,broken phone,DELETE,
aggravating_meget aggressiv adferd,1,aggravating_meget aggressiv adferd,aggravating,meget aggressiv adferd,very aggressive behavior,severe,aggressive
aggravating_flere av de ansatte i butikkene har vært redde,1,aggravating_flere av de ansatte i butikkene har vært redde,aggravating,flere av de ansatte i butikkene har vært redde,several of the employees in the shops have been scared,DELETE,
aggravating_utnyttelse av en sårbar fornærmet,1,aggravating_utnyttelse av en sårbar fornærmet,aggravating,utnyttelse av en sårbar fornærmet,exploitation of a vulnerable victim,victim,vulnerable
aggravating_betydelig antall overgrep,1,aggravating_betydelig antall overgrep,aggravating,betydelig antall overgrep,significant number of abuses,repeated_offense,
aggravating_flere typer av vold,1,aggravating_flere typer av vold,aggravating,flere typer av vold,several types of violence,life_health,violence
aggravating_fornærmede skulle ha følt trygghet,1,aggravating_fornærmede skulle ha følt trygghet,aggravating,fornærmede skulle ha følt trygghet,the victim should have felt safe,DELETE,
aggravating_likegyldighet overfor vegtrafikklovens bestemmelser,1,aggravating_likegyldighet overfor vegtrafikklovens bestemmelser,aggravating,likegyldighet overfor vegtrafikklovens bestemmelser,indifference to the provisions of the Road Traffic Act,violation,road_traffic_act
aggravating_egenprodusert materiale,1,aggravating_egenprodusert materiale,aggravating,egenprodusert materiale,self-produced material,DELETE,
aggravating_spredning av overgrepsmateriale,1,aggravating_spredning av overgrepsmateriale,aggravating,spredning av overgrepsmateriale,dissemination of abuse material,violation,sharing_abuse_material
aggravating_særlig skjerpende omstendigheter,1,aggravating_særlig skjerpende omstendigheter,aggravating,særlig skjerpende omstendigheter,particularly aggravating circumstances,DELETE,
aggravating_forulemping av tjenestemenn,1,aggravating_forulemping av tjenestemenn,aggravating,forulemping av tjenestemenn,harassment of officials,violation,official
aggravating_misbruk av offentlige støtteordninger,1,aggravating_misbruk av offentlige støtteordninger,aggravating,misbruk av offentlige støtteordninger,abuse of public support schemes,violation,fraud
aggravating_kjøring på ettermiddagen,1,aggravating_kjøring på ettermiddagen,aggravating,kjøring på ettermiddagen,driving in the afternoon,driving,day
aggravating_kjøring på smal og svingete veg,1,aggravating_kjøring på smal og svingete veg,aggravating,kjøring på smal og svingete veg,driving on narrow and winding roads,driving,
aggravating_stor fare for møtende trafikk,1,aggravating_stor fare for møtende trafikk,aggravating,stor fare for møtende trafikk,great danger to oncoming traffic,driving,
aggravating_skapte flere farlige situasjoner,1,aggravating_skapte flere farlige situasjoner,aggravating,skapte flere farlige situasjoner,created several dangerous situations,driving,
aggravating_påførte bilen store materielle skader,1,aggravating_påførte bilen store materielle skader,aggravating,påførte bilen store materielle skader,caused major material damage to the car,severe,damage
aggravating_tillitsbrudd i et kjærlighetsforhold,1,aggravating_tillitsbrudd i et kjærlighetsforhold,aggravating,tillitsbrudd i et kjærlighetsforhold,breach of trust in a love relationship,trust,
aggravating_volden hadde karakter av tortur,1,aggravating_volden hadde karakter av tortur,aggravating,volden hadde karakter av tortur,the violence had the character of torture,life_health,violence
aggravating_stor mann som var klart fysisk overlegen offeret,1,aggravating_stor mann som var klart fysisk overlegen offeret,aggravating,stor mann som var klart fysisk overlegen offeret,large man who was clearly physically superior to the victim,victim,power
aggravating_nedverdigende handlinger,1,aggravating_nedverdigende handlinger,aggravating,nedverdigende handlinger,degrading acts,severe,abuse
aggravating_heleri med sikte på videresalg,1,aggravating_heleri med sikte på videresalg,aggravating,heleri med sikte på videresalg,recovery with a view to resale,violation,theft
aggravating_brudd på våpenlovgivningen,1,aggravating_brudd på våpenlovgivningen,aggravating,brudd på våpenlovgivningen,violation of arms legislation,violation,weapon
aggravating_brudd på vegtrafikkloven § 3,1,aggravating_brudd på vegtrafikkloven § 3,aggravating,brudd på vegtrafikkloven § 3,Violation of the Road Traffic Act § 3,violation,road_traffic_act
aggravating_tidligere lovbrudd,1,aggravating_tidligere lovbrudd,aggravating,tidligere lovbrudd,previous offences,repeated_offense,
aggravating_grov voldtekt av barn under 14 år,1,aggravating_grov voldtekt av barn under 14 år,aggravating,grov voldtekt av barn under 14 år,aggravated rape of a child under the age of 14,victim,underaged
aggravating_inn- og utførsel av varen er forbudt eller underlagt særlige vilkår,1,aggravating_inn- og utførsel av varen er forbudt eller underlagt særlige vilkår,aggravating,inn- og utførsel av varen er forbudt eller underlagt særlige vilkår,import and export of the goods is prohibited or subject to special conditions,violation,prohibited_goods
aggravating_varer bestemt til omsetning av lovovertrederen,1,aggravating_varer bestemt til omsetning av lovovertrederen,aggravating,varer bestemt til omsetning av lovovertrederen,goods intended for sale by the offender,cause,personal_gain
aggravating_passasjer en av gangene,1,aggravating_passasjer en av gangene,aggravating,passasjer en av gangene,passenger one of the times,DELETE,
aggravating_misbruk av BankID og personopplysninger,1,aggravating_misbruk av BankID og personopplysninger,aggravating,misbruk av BankID og personopplysninger,misuse of BankID and personal data,violation,fraud
aggravating_bot,1,aggravating_bot,aggravating,bot,fine,DELETE,
aggravating_drapsforsøk,1,aggravating_drapsforsøk,aggravating,drapsforsøk,attempted murder,DELETE,
aggravating_forulemping av politiet,1,aggravating_forulemping av politiet,aggravating,forulemping av politiet,harassment by the police,DELETE,
aggravating_særlig utsatt offer,1,aggravating_særlig utsatt offer,aggravating,særlig utsatt offer,particularly vulnerable victims,victim,vulnerable
aggravating_seksualiserte bilder,1,aggravating_seksualiserte bilder,aggravating,seksualiserte bilder,sexualized images,violation,filming
aggravating_unnlatelse å stanse for politikontroll,1,aggravating_unnlatelse å stanse for politikontroll,aggravating,unnlatelse å stanse for politikontroll,failure to stop for police check,driving,failed_to_stop
aggravating_hensynsløs kjøring,1,aggravating_hensynsløs kjøring,aggravating,hensynsløs kjøring,reckless driving,driving,reckless
aggravating_biljakt i sentrale strøk,1,aggravating_biljakt i sentrale strøk,aggravating,biljakt i sentrale strøk,car hunting in central areas,driving,busy
aggravating_oppsøkte fornærmede på hennes skole,1,aggravating_oppsøkte fornærmede på hennes skole,aggravating,oppsøkte fornærmede på hennes skole,visited the victim at her school,DELETE,
aggravating_planlagte handlinger,1,aggravating_planlagte handlinger,aggravating,planlagte handlinger,planned actions,premeditated,
aggravating_fornærmede var et barn,1,aggravating_fornærmede var et barn,aggravating,fornærmede var et barn,the victim was a child,victim,underaged
aggravating_bruk av gjenstand for å skade eller true,1,aggravating_bruk av gjenstand for å skade eller true,aggravating,bruk av gjenstand for å skade eller true,use of object to harm or threaten,object,
aggravating_kjøring i tettbygde og trafikkerte strøk,1,aggravating_kjøring i tettbygde og trafikkerte strøk,aggravating,kjøring i tettbygde og trafikkerte strøk,driving in densely built-up and congested areas,driving,busy
aggravating_pågikk over lang tid,1,aggravating_pågikk over lang tid,aggravating,pågikk over lang tid,went on for a long time,DELETE,
aggravating_høye beløp,1,aggravating_høye beløp,aggravating,høye beløp,high amounts,DELETE,
aggravating_tyveri av husnøkler,1,aggravating_tyveri av husnøkler,aggravating,tyveri av husnøkler,theft of house keys,violation,theft
aggravating_tyveri av mobiltelefon,1,aggravating_tyveri av mobiltelefon,aggravating,tyveri av mobiltelefon,mobile phone theft,DELETE,
aggravating_glatt føre,1,aggravating_glatt føre,aggravating,glatt føre,slippery road,DELETE,
aggravating_innbrudd,1,aggravating_innbrudd,aggravating,innbrudd,burglary,violation,burglary
aggravating_bruk av brennbar væske,1,aggravating_bruk av brennbar væske,aggravating,bruk av brennbar væske,use of flammable liquid,DELETE,
aggravating_tidligere kjæreste som offer,1,aggravating_tidligere kjæreste som offer,aggravating,tidligere kjæreste som offer,former lover as victim,victim,relationship
aggravating_øvrige tiltaleposter,1,aggravating_øvrige tiltaleposter,aggravating,øvrige tiltaleposter,other charges,DELETE,
aggravating_omfattende skader,1,aggravating_omfattende skader,aggravating,omfattende skader,extensive damage,severe,damage
aggravating_kjøring med falske kjennemerker,1,aggravating_kjøring med falske kjennemerker,aggravating,kjøring med falske kjennemerker,driving with false registration plates,driving,license_plate
aggravating_begått i prøvetida for en betinga dom,1,aggravating_begått i prøvetida for en betinga dom,aggravating,begått i prøvetida for en betinga dom,committed during the probationary period for a suspended sentence,violation,parole
aggravating_ikke holdt avstand under koronapandemien,1,aggravating_ikke holdt avstand under koronapandemien,aggravating,ikke holdt avstand under koronapandemien,did not keep distance during the corona pandemic,violation,covid
aggravating_vold og trusler,1,aggravating_vold og trusler,aggravating,vold og trusler,violence and threats,threats,
aggravating_kaotisk situasjon,1,aggravating_kaotisk situasjon,aggravating,kaotisk situasjon,chaotic situation,DELETE,
