"","count","rowname_norwegian","type","circ_norwegian"
"aggravating_kjøring på ettermiddagen",1,"aggravating_kjøring på ettermiddagen","aggravating","kjøring på ettermiddagen"
"aggravating_kjøring på smal og svingete veg",1,"aggravating_kjøring på smal og svingete veg","aggravating","kjøring på smal og svingete veg"
"aggravating_stor fare for møtende trafikk",1,"aggravating_stor fare for møtende trafikk","aggravating","stor fare for møtende trafikk"
"aggravating_skapte flere farlige situasjoner",1,"aggravating_skapte flere farlige situasjoner","aggravating","skapte flere farlige situasjoner"
"aggravating_påførte bilen store materielle skader",1,"aggravating_påførte bilen store materielle skader","aggravating","påførte bilen store materielle skader"
"aggravating_tillitsbrudd i et kjærlighetsforhold",1,"aggravating_tillitsbrudd i et kjærlighetsforhold","aggravating","tillitsbrudd i et kjærlighetsforhold"
"aggravating_volden hadde karakter av tortur",1,"aggravating_volden hadde karakter av tortur","aggravating","volden hadde karakter av tortur"
"aggravating_stor mann som var klart fysisk overlegen offeret",1,"aggravating_stor mann som var klart fysisk overlegen offeret","aggravating","stor mann som var klart fysisk overlegen offeret"
"aggravating_nedverdigende handlinger",1,"aggravating_nedverdigende handlinger","aggravating","nedverdigende handlinger"
"aggravating_heleri med sikte på videresalg",1,"aggravating_heleri med sikte på videresalg","aggravating","heleri med sikte på videresalg"
"aggravating_brudd på våpenlovgivningen",1,"aggravating_brudd på våpenlovgivningen","aggravating","brudd på våpenlovgivningen"
"aggravating_brudd på vegtrafikkloven § 3",1,"aggravating_brudd på vegtrafikkloven § 3","aggravating","brudd på vegtrafikkloven § 3"
"aggravating_tidligere lovbrudd",1,"aggravating_tidligere lovbrudd","aggravating","tidligere lovbrudd"
"aggravating_grov voldtekt av barn under 14 år",1,"aggravating_grov voldtekt av barn under 14 år","aggravating","grov voldtekt av barn under 14 år"
"aggravating_inn- og utførsel av varen er forbudt eller underlagt særlige vilkår",1,"aggravating_inn- og utførsel av varen er forbudt eller underlagt særlige vilkår","aggravating","inn- og utførsel av varen er forbudt eller underlagt særlige vilkår"
"aggravating_varer bestemt til omsetning av lovovertrederen",1,"aggravating_varer bestemt til omsetning av lovovertrederen","aggravating","varer bestemt til omsetning av lovovertrederen"
"aggravating_passasjer en av gangene",1,"aggravating_passasjer en av gangene","aggravating","passasjer en av gangene"
"aggravating_misbruk av BankID og personopplysninger",1,"aggravating_misbruk av BankID og personopplysninger","aggravating","misbruk av BankID og personopplysninger"
"aggravating_bot",1,"aggravating_bot","aggravating","bot"
"aggravating_drapsforsøk",1,"aggravating_drapsforsøk","aggravating","drapsforsøk"
"aggravating_forulemping av politiet",1,"aggravating_forulemping av politiet","aggravating","forulemping av politiet"
"aggravating_særlig utsatt offer",1,"aggravating_særlig utsatt offer","aggravating","særlig utsatt offer"
"aggravating_seksualiserte bilder",1,"aggravating_seksualiserte bilder","aggravating","seksualiserte bilder"
"aggravating_unnlatelse å stanse for politikontroll",1,"aggravating_unnlatelse å stanse for politikontroll","aggravating","unnlatelse å stanse for politikontroll"
"aggravating_hensynsløs kjøring",1,"aggravating_hensynsløs kjøring","aggravating","hensynsløs kjøring"
"aggravating_biljakt i sentrale strøk",1,"aggravating_biljakt i sentrale strøk","aggravating","biljakt i sentrale strøk"
"aggravating_oppsøkte fornærmede på hennes skole",1,"aggravating_oppsøkte fornærmede på hennes skole","aggravating","oppsøkte fornærmede på hennes skole"
"aggravating_planlagte handlinger",1,"aggravating_planlagte handlinger","aggravating","planlagte handlinger"
"aggravating_fornærmede var et barn",1,"aggravating_fornærmede var et barn","aggravating","fornærmede var et barn"
"aggravating_bruk av gjenstand for å skade eller true",1,"aggravating_bruk av gjenstand for å skade eller true","aggravating","bruk av gjenstand for å skade eller true"
"aggravating_kjøring i tettbygde og trafikkerte strøk",1,"aggravating_kjøring i tettbygde og trafikkerte strøk","aggravating","kjøring i tettbygde og trafikkerte strøk"
"aggravating_pågikk over lang tid",1,"aggravating_pågikk over lang tid","aggravating","pågikk over lang tid"
"aggravating_høye beløp",1,"aggravating_høye beløp","aggravating","høye beløp"
"aggravating_tyveri av husnøkler",1,"aggravating_tyveri av husnøkler","aggravating","tyveri av husnøkler"
"aggravating_tyveri av mobiltelefon",1,"aggravating_tyveri av mobiltelefon","aggravating","tyveri av mobiltelefon"
"aggravating_glatt føre",1,"aggravating_glatt føre","aggravating","glatt føre"
"aggravating_innbrudd",1,"aggravating_innbrudd","aggravating","innbrudd"
"aggravating_bruk av brennbar væske",1,"aggravating_bruk av brennbar væske","aggravating","bruk av brennbar væske"
"aggravating_tidligere kjæreste som offer",1,"aggravating_tidligere kjæreste som offer","aggravating","tidligere kjæreste som offer"
"aggravating_øvrige tiltaleposter",1,"aggravating_øvrige tiltaleposter","aggravating","øvrige tiltaleposter"
"aggravating_omfattende skader",1,"aggravating_omfattende skader","aggravating","omfattende skader"
"aggravating_kjøring med falske kjennemerker",1,"aggravating_kjøring med falske kjennemerker","aggravating","kjøring med falske kjennemerker"
"aggravating_begått i prøvetida for en betinga dom",1,"aggravating_begått i prøvetida for en betinga dom","aggravating","begått i prøvetida for en betinga dom"
"aggravating_ikke holdt avstand under koronapandemien",1,"aggravating_ikke holdt avstand under koronapandemien","aggravating","ikke holdt avstand under koronapandemien"
"aggravating_vold og trusler",1,"aggravating_vold og trusler","aggravating","vold og trusler"
"aggravating_kaotisk situasjon",1,"aggravating_kaotisk situasjon","aggravating","kaotisk situasjon"
"aggravating_grovt bedrageri",1,"aggravating_grovt bedrageri","aggravating","grovt bedrageri"
"aggravating_planlagt og profesjonelt preg",1,"aggravating_planlagt og profesjonelt preg","aggravating","planlagt og profesjonelt preg"
"aggravating_økonomisk utroskap",1,"aggravating_økonomisk utroskap","aggravating","økonomisk utroskap"
"aggravating_grov forsikringssvindel",1,"aggravating_grov forsikringssvindel","aggravating","grov forsikringssvindel"
"aggravating_medvirkning til tyveri",1,"aggravating_medvirkning til tyveri","aggravating","medvirkning til tyveri"
"aggravating_unnlatt å melde fra for å få hjelpe ved skade og trafikkhinder etter trafikkulykke",1,"aggravating_unnlatt å melde fra for å få hjelpe ved skade og trafikkhinder etter trafikkulykke","aggravating","unnlatt å melde fra for å få hjelpe ved skade og trafikkhinder etter trafikkulykke"
"aggravating_utnytting",1,"aggravating_utnytting","aggravating","utnytting"
"aggravating_brutalitet",1,"aggravating_brutalitet","aggravating","brutalitet"
"aggravating_farepotensiale ved voldsutøvelsen",1,"aggravating_farepotensiale ved voldsutøvelsen","aggravating","farepotensiale ved voldsutøvelsen"
"aggravating_skape et fryktregime",1,"aggravating_skape et fryktregime","aggravating","skape et fryktregime"
"aggravating_misbruk av betroelse",1,"aggravating_misbruk av betroelse","aggravating","misbruk av betroelse"
"aggravating_gjentatt oppbevaring av kniv",1,"aggravating_gjentatt oppbevaring av kniv","aggravating","gjentatt oppbevaring av kniv"
"aggravating_brudd på smittevernlovgivningen",1,"aggravating_brudd på smittevernlovgivningen","aggravating","brudd på smittevernlovgivningen"
"aggravating_føreren ikke hadde førerrett",1,"aggravating_føreren ikke hadde førerrett","aggravating","føreren ikke hadde førerrett"
"aggravating_ulykke i form av en utforkjøring",1,"aggravating_ulykke i form av en utforkjøring","aggravating","ulykke i form av en utforkjøring"
"aggravating_påvirkning av en kombinasjon av ulike stoffer",1,"aggravating_påvirkning av en kombinasjon av ulike stoffer","aggravating","påvirkning av en kombinasjon av ulike stoffer"
"aggravating_vold mot person i en særskilt utsatt yrkesgruppe",1,"aggravating_vold mot person i en særskilt utsatt yrkesgruppe","aggravating","vold mot person i en særskilt utsatt yrkesgruppe"
"aggravating_uberettiget adkomst",1,"aggravating_uberettiget adkomst","aggravating","uberettiget adkomst"
"aggravating_hindring av politiet",1,"aggravating_hindring av politiet","aggravating","hindring av politiet"
"aggravating_forulempning av politiet",1,"aggravating_forulempning av politiet","aggravating","forulempning av politiet"
"aggravating_grov krenkelse av et tillitsforhold",1,"aggravating_grov krenkelse av et tillitsforhold","aggravating","grov krenkelse av et tillitsforhold"
"aggravating_utnyttelse av tillitsposisjon",1,"aggravating_utnyttelse av tillitsposisjon","aggravating","utnyttelse av tillitsposisjon"
"aggravating_overlagt preg",1,"aggravating_overlagt preg","aggravating","overlagt preg"
"aggravating_drakk i bilen",1,"aggravating_drakk i bilen","aggravating","drakk i bilen"
"aggravating_skadepotensialet",1,"aggravating_skadepotensialet","aggravating","skadepotensialet"
"aggravating_graden av utnyttelse",1,"aggravating_graden av utnyttelse","aggravating","graden av utnyttelse"
"aggravating_manglende prevensjon",1,"aggravating_manglende prevensjon","aggravating","manglende prevensjon"
"aggravating_kroppskrenking",1,"aggravating_kroppskrenking","aggravating","kroppskrenking"
"aggravating_brudd på pålegg fra politiet",1,"aggravating_brudd på pålegg fra politiet","aggravating","brudd på pålegg fra politiet"
"aggravating_langvarig og planmessig",1,"aggravating_langvarig og planmessig","aggravating","langvarig og planmessig"
"aggravating_kjent med at fornærmede har blitt utsatt for vold i hjemmet",1,"aggravating_kjent med at fornærmede har blitt utsatt for vold i hjemmet","aggravating","kjent med at fornærmede har blitt utsatt for vold i hjemmet"
"aggravating_hindret fornærmede i å trekke seg ut av situasjonen",1,"aggravating_hindret fornærmede i å trekke seg ut av situasjonen","aggravating","hindret fornærmede i å trekke seg ut av situasjonen"
"aggravating_opprettholdt seksuell kontakt på kynisk vis",1,"aggravating_opprettholdt seksuell kontakt på kynisk vis","aggravating","opprettholdt seksuell kontakt på kynisk vis"
"aggravating_utøvet smertelig vold",1,"aggravating_utøvet smertelig vold","aggravating","utøvet smertelig vold"
"aggravating_antallet fornærmede",1,"aggravating_antallet fornærmede","aggravating","antallet fornærmede"
"aggravating_kjøring av uregistrert kjøretøy",1,"aggravating_kjøring av uregistrert kjøretøy","aggravating","kjøring av uregistrert kjøretøy"
"aggravating_økonomisk tap for fornærmede",1,"aggravating_økonomisk tap for fornærmede","aggravating","økonomisk tap for fornærmede"
"aggravating_manglende bruk av kondom",1,"aggravating_manglende bruk av kondom","aggravating","manglende bruk av kondom"
"aggravating_utnyttelse av press",1,"aggravating_utnyttelse av press","aggravating","utnyttelse av press"
"aggravating_planlagt og organisert virksomhet",1,"aggravating_planlagt og organisert virksomhet","aggravating","planlagt og organisert virksomhet"
"aggravating_unndra skatt og avgift",1,"aggravating_unndra skatt og avgift","aggravating","unndra skatt og avgift"
"aggravating_skjule andre straffbare forhold",1,"aggravating_skjule andre straffbare forhold","aggravating","skjule andre straffbare forhold"
"aggravating_bruk av flere foretak",1,"aggravating_bruk av flere foretak","aggravating","bruk av flere foretak"
"aggravating_bruk av falske opplysninger",1,"aggravating_bruk av falske opplysninger","aggravating","bruk av falske opplysninger"
"aggravating_omfang",1,"aggravating_omfang","aggravating","omfang"
"aggravating_den seksuelle krenkende adferden",1,"aggravating_den seksuelle krenkende adferden","aggravating","den seksuelle krenkende adferden"
"aggravating_allmenprevensjon",1,"aggravating_allmenprevensjon","aggravating","allmenprevensjon"
"aggravating_betydelig verdi",1,"aggravating_betydelig verdi","aggravating","betydelig verdi"
"aggravating_kriminalitet av samfunnsskadelig art",1,"aggravating_kriminalitet av samfunnsskadelig art","aggravating","kriminalitet av samfunnsskadelig art"
"aggravating_ikke-økonomisk skade",1,"aggravating_ikke-økonomisk skade","aggravating","ikke-økonomisk skade"
"aggravating_selvtekt",1,"aggravating_selvtekt","aggravating","selvtekt"
"aggravating_voldsutøvelse med betydelig kraft",1,"aggravating_voldsutøvelse med betydelig kraft","aggravating","voldsutøvelse med betydelig kraft"
"aggravating_narkotikabesittelse",1,"aggravating_narkotikabesittelse","aggravating","narkotikabesittelse"
"aggravating_oppbevaring av ammunisjon",1,"aggravating_oppbevaring av ammunisjon","aggravating","oppbevaring av ammunisjon"
"aggravating_vold/trusler mot tjenestemenn",1,"aggravating_vold/trusler mot tjenestemenn","aggravating","vold/trusler mot tjenestemenn"
"aggravating_oppbevaring av voldsprodukt",1,"aggravating_oppbevaring av voldsprodukt","aggravating","oppbevaring av voldsprodukt"
"aggravating_soningsunnlatelse",1,"aggravating_soningsunnlatelse","aggravating","soningsunnlatelse"
"aggravating_utnyttet situasjonen",1,"aggravating_utnyttet situasjonen","aggravating","utnyttet situasjonen"
"aggravating_seksuell misbruk av barn",1,"aggravating_seksuell misbruk av barn","aggravating","seksuell misbruk av barn"
"aggravating_hindring av politiets tjenestehandling",1,"aggravating_hindring av politiets tjenestehandling","aggravating","hindring av politiets tjenestehandling"
"aggravating_ran fra ung person",1,"aggravating_ran fra ung person","aggravating","ran fra ung person"
"aggravating_utelivsvold i det offentlige rom",1,"aggravating_utelivsvold i det offentlige rom","aggravating","utelivsvold i det offentlige rom"
